,0,corpus
206,live sinc first last time step foot place,live sinc first last time step foot place
207,worst experi ever,worst experi ever
208,must night place,must night place
209,side delish mix mushroom yukon gold pure white corn beateou,side delish mix mushroom yukon gold pure white corn beateou
210,bug never show would given sure side wall bug climb kitchen,bug never show would given sure side wall bug climb kitchen
211,minut wait salad realiz come time soon,minut wait salad realiz come time soon
212,friend love salmon tartar,friend love salmon tartar
213,go back,go back
214,extrem tasti,extrem tasti
215,waitress good though,waitress good though
216,soggi good,soggi good
217,jamaican mojito delici,jamaican mojito delici
218,small worth price,small worth price
219,food rich order accordingli,food rich order accordingli
220,shower area outsid rins take full shower unless mind nude everyon see,shower area outsid rins take full shower unless mind nude everyon see
221,servic bit lack,servic bit lack
222,lobster bisqu bussel sprout risotto filet need salt pepper cours none tabl,lobster bisqu bussel sprout risotto filet need salt pepper cours none tabl
223,hope bode go busi someon cook come,hope bode go busi someon cook come
224,either cold enough flavor bad,either cold enough flavor bad
225,love bacon wrap date,love bacon wrap date
226,unbeliev bargain,unbeliev bargain
227,folk otto alway make us feel welcom special,folk otto alway make us feel welcom special
228,main also uninspir,main also uninspir
229,place first pho amaz,place first pho amaz
230,wonder experi made place must stop whenev town,wonder experi made place must stop whenev town
231,food bad enough enjoy deal world worst annoy drunk peopl,food bad enough enjoy deal world worst annoy drunk peopl
232,fun chef,fun chef
233,order doubl cheeseburg got singl patti fall apart pictur upload yeah still suck,order doubl cheeseburg got singl patti fall apart pictur upload yeah still suck
234,great place coupl drink watch sport event wall cover tv,great place coupl drink watch sport event wall cover tv
235,possibl give zero star,possibl give zero star
236,descript said yum yum sauc anoth said eel sauc yet anoth said spici mayo well none roll sauc,descript said yum yum sauc anoth said eel sauc yet anoth said spici mayo well none roll sauc
237,say would hardest decis honestli dish tast suppos tast amaz,say would hardest decis honestli dish tast suppos tast amaz
238,roll eye may stay sure go back tri,roll eye may stay sure go back tri
239,everyon attent provid excel custom servic,everyon attent provid excel custom servic
240,horribl wast time money,horribl wast time money
241,dish quit flavour,dish quit flavour
242,time side restaur almost empti excus,time side restaur almost empti excus
243,busi either also build freez cold,busi either also build freez cold
244,like review said pay eat place,like review said pay eat place
245,drink took close minut come one point,drink took close minut come one point
246,serious flavor delight folk,serious flavor delight folk
247,much better ayc sushi place went vega,much better ayc sushi place went vega
248,light dark enough set mood,light dark enough set mood
249,base sub par servic receiv effort show gratitud busi go back,base sub par servic receiv effort show gratitud busi go back
250,owner realli great peopl,owner realli great peopl
251,noth privileg work eat,noth privileg work eat
252,greek dress creami flavor,greek dress creami flavor
253,overal think would take parent place made similar complaint silent felt,overal think would take parent place made similar complaint silent felt
254,pizza good peanut sauc tasti,pizza good peanut sauc tasti
255,tabl servic pretti fast,tabl servic pretti fast
256,fantast servic,fantast servic
257,well would given godfath zero star possibl,well would given godfath zero star possibl
258,know make,know make
259,tough short flavor,tough short flavor
260,hope place stick around,hope place stick around
261,bar vega ever recal charg tap water,bar vega ever recal charg tap water
262,restaur atmospher exquisit,restaur atmospher exquisit
263,good servic clean inexpens boot,good servic clean inexpens boot
264,seafood fresh gener portion,seafood fresh gener portion
265,plu buck,plu buck
266,servic par either,servic par either
267,thu far visit twice food absolut delici time,thu far visit twice food absolut delici time
268,good year ago,good year ago
269,self proclaim coffe cafe wildli disappoint,self proclaim coffe cafe wildli disappoint
270,veggitarian platter world,veggitarian platter world
271,cant go wrong food,cant go wrong food
272,beat,beat
273,stop place madison ironman friendli kind staff,stop place madison ironman friendli kind staff
274,chef friendli good job,chef friendli good job
275,better dedic boba tea spot even jenni pho,better dedic boba tea spot even jenni pho
276,like patio servic outstand,like patio servic outstand
277,goat taco skimp meat wow flavor,goat taco skimp meat wow flavor
278,think,think
279,mac salad pretti bland get,mac salad pretti bland get
280,went bachi burger friend recommend disappoint,went bachi burger friend recommend disappoint
281,servic stink,servic stink
282,wait wait,wait wait
283,place qualiti sushi qualiti restaur,place qualiti sushi qualiti restaur
284,would definit recommend wing well pizza,would definit recommend wing well pizza
285,great pizza salad,great pizza salad
286,thing went wrong burn saganaki,thing went wrong burn saganaki
287,wait hour breakfast could done time better home,wait hour breakfast could done time better home
288,place amaz,place amaz
289,hate disagre fellow yelper husband disappoint place,hate disagre fellow yelper husband disappoint place
290,wait hour never got either pizza mani around us came later,wait hour never got either pizza mani around us came later
291,know slow,know slow
292,staff great food delish incred beer select,staff great food delish incred beer select
293,live neighborhood disappoint back conveni locat,live neighborhood disappoint back conveni locat
294,know pull pork could soooo delici,know pull pork could soooo delici
295,get incred fresh fish prepar care,get incred fresh fish prepar care
296,go gave star rate pleas know third time eat bachi burger write review,go gave star rate pleas know third time eat bachi burger write review
297,love fact everyth menu worth,love fact everyth menu worth
298,never dine place,never dine place
299,food excel servic good,food excel servic good
300,good beer drink select good food select,good beer drink select good food select
301,pleas stay away shrimp stir fri noodl,pleas stay away shrimp stir fri noodl
302,potato chip order sad could probabl count mani chip box probabl around,potato chip order sad could probabl count mani chip box probabl around
303,food realli bore,food realli bore
304,good servic check,good servic check
305,greedi corpor never see anoth dime,greedi corpor never see anoth dime
306,never ever go back,never ever go back
307,much like go back get pass atroci servic never return,much like go back get pass atroci servic never return
308,summer dine charm outdoor patio delight,summer dine charm outdoor patio delight
309,expect good,expect good
310,fantast food,fantast food
311,order toast english muffin came untoast,order toast english muffin came untoast
312,food good,food good
313,never go back,never go back
314,great food price high qualiti hous made,great food price high qualiti hous made
315,bu boy hand rude,bu boy hand rude
316,point friend basic figur place joke mind make publicli loudli known,point friend basic figur place joke mind make publicli loudli known
317,back good bbq lighter fare reason price tell public back old way,back good bbq lighter fare reason price tell public back old way
318,consid two us left full happi go wrong,consid two us left full happi go wrong
319,bread made hous,bread made hous
320,downsid servic,downsid servic
321,also fri without doubt worst fri ever,also fri without doubt worst fri ever
322,servic except food good review,servic except food good review
323,coupl month later return amaz meal,coupl month later return amaz meal
324,favorit place town shawarrrrrrma,favorit place town shawarrrrrrma
325,black eye pea sweet potato unreal,black eye pea sweet potato unreal
326,disappoint,disappoint
327,could serv vinaigrett may make better overal dish still good,could serv vinaigrett may make better overal dish still good
328,go far mani place never seen restaur serv egg breakfast especi,go far mani place never seen restaur serv egg breakfast especi
329,mom got home immedi got sick bite salad,mom got home immedi got sick bite salad
330,server pleasant deal alway honor pizza hut coupon,server pleasant deal alway honor pizza hut coupon
331,truli unbeliev good glad went back,truli unbeliev good glad went back
332,fantast servic pleas atmospher,fantast servic pleas atmospher
333,everyth gross,everyth gross
334,love place,love place
335,great servic food,great servic food
336,first bathroom locat dirti seat cover replenish plain yucki,first bathroom locat dirti seat cover replenish plain yucki
337,burger got gold standard burger kind disappoint,burger got gold standard burger kind disappoint
338,omg food delicioso,omg food delicioso
339,noth authent place,noth authent place
340,spaghetti noth special whatsoev,spaghetti noth special whatsoev
341,dish salmon best great,dish salmon best great
342,veget fresh sauc feel like authent thai,veget fresh sauc feel like authent thai
343,worth drive tucson,worth drive tucson
344,select probabl worst seen vega none,select probabl worst seen vega none
345,pretti good beer select,pretti good beer select
346,place like chipotl better,place like chipotl better
347,classi warm atmospher fun fresh appet succul steak basebal steak,classi warm atmospher fun fresh appet succul steak basebal steak
348,star brick oven bread app,star brick oven bread app
349,eaten multipl time time food delici,eaten multipl time time food delici
350,sat anoth ten minut final gave left,sat anoth ten minut final gave left
351,terribl,terribl
352,everyon treat equal special,everyon treat equal special
353,take min pancak egg,take min pancak egg
354,delici,delici
355,good side staff genuin pleasant enthusiast real treat,good side staff genuin pleasant enthusiast real treat
356,sadli gordon ramsey steak place shall sharpli avoid next trip vega,sadli gordon ramsey steak place shall sharpli avoid next trip vega
357,alway even wonder food delici,alway even wonder food delici
358,best fish ever life,best fish ever life
359,bathroom next door nice,bathroom next door nice
360,buffet small food offer bland,buffet small food offer bland
361,outstand littl restaur best food ever tast,outstand littl restaur best food ever tast
362,pretti cool would say,pretti cool would say
363,definit turn doubt back unless someon els buy,definit turn doubt back unless someon els buy
364,server great job handl larg rowdi tabl,server great job handl larg rowdi tabl
365,find wast food despic food,find wast food despic food
366,wife lobster bisqu soup lukewarm,wife lobster bisqu soup lukewarm
367,would come back sushi crave vega,would come back sushi crave vega
368,staff great ambianc great,staff great ambianc great
369,deserv star,deserv star
370,left stomach ach felt sick rest day,left stomach ach felt sick rest day
371,drop ball,drop ball
372,dine space tini elegantli decor comfort,dine space tini elegantli decor comfort
373,custom order way like usual eggplant green bean stir fri love,custom order way like usual eggplant green bean stir fri love
374,bean rice mediocr best,bean rice mediocr best
375,best taco town far,best taco town far
376,took back money got outta,took back money got outta
377,interest part town place amaz,interest part town place amaz
378,rude inconsider manag,rude inconsider manag
379,staff friendli wait time serv horribl one even say hi first minut,staff friendli wait time serv horribl one even say hi first minut
380,back,back
381,great dinner,great dinner
382,servic outshin definit recommend halibut,servic outshin definit recommend halibut
383,food terribl,food terribl
384,never ever go back told mani peopl happen,never ever go back told mani peopl happen
385,recommend unless car break front starv,recommend unless car break front starv
386,come back everi time vega,come back everi time vega
387,place deserv one star food,place deserv one star food
388,disgrac,disgrac
389,def come back bowl next time,def come back bowl next time
390,want healthi authent ethic food tri place,want healthi authent ethic food tri place
391,continu come ladi night andddd date night highli recommend place anyon area,continu come ladi night andddd date night highli recommend place anyon area
392,sever time past experi alway great,sever time past experi alway great
393,walk away stuf happi first vega buffet experi,walk away stuf happi first vega buffet experi
394,servic excel price pretti reason consid vega locat insid crystal shop mall aria,servic excel price pretti reason consid vega locat insid crystal shop mall aria
395,summar food incred nay transcend noth bring joy quit like memori pneumat condiment dispens,summar food incred nay transcend noth bring joy quit like memori pneumat condiment dispens
396,probabl one peopl ever go ian like,probabl one peopl ever go ian like
397,kid pizza alway hit lot great side dish option kiddo,kid pizza alway hit lot great side dish option kiddo
398,servic perfect famili atmospher nice see,servic perfect famili atmospher nice see
399,cook perfect servic impecc,cook perfect servic impecc
400,one simpli disappoint,one simpli disappoint
401,overal disappoint qualiti food bouchon,overal disappoint qualiti food bouchon
402,account know get screw,account know get screw
403,great place eat remind littl mom pop shop san francisco bay area,great place eat remind littl mom pop shop san francisco bay area
404,today first tast buldogi gourmet hot dog tell ever thought possibl,today first tast buldogi gourmet hot dog tell ever thought possibl
405,left frustrat,left frustrat
406,definit soon,definit soon
407,food realli good got full petti fast,food realli good got full petti fast
408,servic fantast,servic fantast
409,total wast time,total wast time
410,know kind best ice tea,know kind best ice tea
411,come hungri leav happi stuf,come hungri leav happi stuf
412,servic give star,servic give star
413,assur disappoint,assur disappoint
414,take littl bad servic food suck,take littl bad servic food suck
415,gave tri eat crust teeth still sore,gave tri eat crust teeth still sore
416,complet gross,complet gross
417,realli enjoy eat,realli enjoy eat
418,first time go think quickli becom regular,first time go think quickli becom regular
419,server nice even though look littl overwhelm need stay profession friendli end,server nice even though look littl overwhelm need stay profession friendli end
420,dinner companion told everyth fresh nice textur tast,dinner companion told everyth fresh nice textur tast
421,ground right next tabl larg smear step track everywher pile green bird poop,ground right next tabl larg smear step track everywher pile green bird poop
422,furthermor even find hour oper websit,furthermor even find hour oper websit
423,tri like place time think done,tri like place time think done
424,mistak,mistak
425,complaint,complaint
426,serious good pizza expert connisseur topic,serious good pizza expert connisseur topic
427,waiter jerk,waiter jerk
428,strike want rush,strike want rush
429,nicest restaur owner ever come across,nicest restaur owner ever come across
430,never come,never come
431,love biscuit,love biscuit
432,servic quick friendli,servic quick friendli
433,order appet took minut pizza anoth minut,order appet took minut pizza anoth minut
434,absolutley fantast,absolutley fantast
435,huge awkward lb piec cow th gristl fat,huge awkward lb piec cow th gristl fat
436,definit come back,definit come back
437,like steiner dark feel like bar,like steiner dark feel like bar
438,wow spici delici,wow spici delici
439,familiar check,familiar check
440,take busi dinner dollar elsewher,take busi dinner dollar elsewher
441,love go back,love go back
442,anyway fs restaur wonder breakfast lunch,anyway fs restaur wonder breakfast lunch
443,noth special,noth special
444,day week differ deal delici,day week differ deal delici
445,mention combin pear almond bacon big winner,mention combin pear almond bacon big winner
446,back,back
447,sauc tasteless,sauc tasteless
448,food delici spici enough sure ask spicier prefer way,food delici spici enough sure ask spicier prefer way
449,ribey steak cook perfectli great mesquit flavor,ribey steak cook perfectli great mesquit flavor
450,think go back anytim soon,think go back anytim soon
451,food gooodd,food gooodd
452,far sushi connoisseur definit tell differ good food bad food certainli bad food,far sushi connoisseur definit tell differ good food bad food certainli bad food
453,insult,insult
454,last time lunch bad,last time lunch bad
455,chicken wing contain driest chicken meat ever eaten,chicken wing contain driest chicken meat ever eaten
456,food good enjoy everi mouth enjoy relax venu coupl small famili group etc,food good enjoy everi mouth enjoy relax venu coupl small famili group etc
457,nargil think great,nargil think great
458,best tater tot southwest,best tater tot southwest
459,love place,love place
460,definit worth paid,definit worth paid
461,vanilla ice cream creami smooth profiterol choux pastri fresh enough,vanilla ice cream creami smooth profiterol choux pastri fresh enough
462,im az time new spot,im az time new spot
463,manag worst,manag worst
464,insid realli quit nice clean,insid realli quit nice clean
465,food outstand price reason,food outstand price reason
466,think run back carli anytim soon food,think run back carli anytim soon food
467,due fact took minut acknowledg anoth minut get food kept forget thing,due fact took minut acknowledg anoth minut get food kept forget thing
468,love margarita,love margarita
469,first vega buffet disappoint,first vega buffet disappoint
470,good though,good though
471,one note ventil could use upgrad,one note ventil could use upgrad
472,great pork sandwich,great pork sandwich
473,wast time,wast time
474,total letdown would much rather go camelback flower shop cartel coffe,total letdown would much rather go camelback flower shop cartel coffe
475,third chees friend burger cold,third chees friend burger cold
476,enjoy pizza brunch,enjoy pizza brunch
477,steak well trim also perfectli cook,steak well trim also perfectli cook
478,group claim would handl us beauti,group claim would handl us beauti
479,love,love
480,ask bill leav without eat bring either,ask bill leav without eat bring either
481,place jewel la vega exactli hope find nearli ten year live,place jewel la vega exactli hope find nearli ten year live
482,seafood limit boil shrimp crab leg crab leg definit tast fresh,seafood limit boil shrimp crab leg crab leg definit tast fresh
483,select food best,select food best
484,delici absolut back,delici absolut back
485,small famili restaur fine dine establish,small famili restaur fine dine establish
486,toro tartar cavier extraordinari like thinli slice wagyu white truffl,toro tartar cavier extraordinari like thinli slice wagyu white truffl
487,dont think back long time,dont think back long time
488,attach ga station rare good sign,attach ga station rare good sign
489,awesom,awesom
490,back mani time soon,back mani time soon
491,menu much good stuff could decid,menu much good stuff could decid
492,wors humili worker right front bunch horribl name call,wors humili worker right front bunch horribl name call
493,conclus fill meal,conclus fill meal
494,daili special alway hit group,daili special alway hit group
495,tragedi struck,tragedi struck
496,pancak also realli good pretti larg,pancak also realli good pretti larg
497,first crawfish experi delici,first crawfish experi delici
498,monster chicken fri steak egg time favorit,monster chicken fri steak egg time favorit
499,waitress sweet funni,waitress sweet funni
500,also tast mom multi grain pumpkin pancak pecan butter amaz fluffi delici,also tast mom multi grain pumpkin pancak pecan butter amaz fluffi delici
501,rather eat airlin food serious,rather eat airlin food serious
502,cant say enough good thing place,cant say enough good thing place
503,ambianc incred,ambianc incred
504,waitress manag friendli,waitress manag friendli
505,would recommend place,would recommend place
506,overal impress noca,overal impress noca
507,gyro basic lettuc,gyro basic lettuc
508,terribl servic,terribl servic
509,thoroughli disappoint,thoroughli disappoint
510,much pasta love homemad hand made pasta thin pizza,much pasta love homemad hand made pasta thin pizza
511,give tri happi,give tri happi
512,far best cheesecurd ever,far best cheesecurd ever
513,reason price also,reason price also
514,everyth perfect night,everyth perfect night
515,food good typic bar food,food good typic bar food
516,drive get,drive get
517,first glanc love bakeri cafe nice ambianc clean friendli staff,first glanc love bakeri cafe nice ambianc clean friendli staff
518,anyway think go back,anyway think go back
519,point finger item menu order disappoint,point finger item menu order disappoint
520,oh thing beauti restaur,oh thing beauti restaur
521,gone go,gone go
522,greasi unhealthi meal,greasi unhealthi meal
523,first time might last,first time might last
524,burger amaz,burger amaz
525,similarli deliveri man say word apolog food minut late,similarli deliveri man say word apolog food minut late
526,way expens,way expens
527,sure order dessert even need pack go tiramisu cannoli die,sure order dessert even need pack go tiramisu cannoli die
528,first time wait next,first time wait next
529,bartend also nice,bartend also nice
530,everyth good tasti,everyth good tasti
531,place two thumb way,place two thumb way
532,best place vega breakfast check sat sun,best place vega breakfast check sat sun
533,love authent mexican food want whole bunch interest yet delici meat choos need tri place,love authent mexican food want whole bunch interest yet delici meat choos need tri place
534,terribl manag,terribl manag
535,excel new restaur experienc frenchman,excel new restaur experienc frenchman
536,zero star would give zero star,zero star would give zero star
537,great steak great side great wine amaz dessert,great steak great side great wine amaz dessert
538,worst martini ever,worst martini ever
539,steak shrimp opinion best entre gc,steak shrimp opinion best entre gc
540,opportun today sampl amaz pizza,opportun today sampl amaz pizza
541,wait thirti minut seat although vacant tabl folk wait,wait thirti minut seat although vacant tabl folk wait
542,yellowtail carpaccio melt mouth fresh,yellowtail carpaccio melt mouth fresh
543,tri go back even empti,tri go back even empti
